RSSI,SNR,Message Number,Longitude,Latitude,,,,
46,10,3,-31.911267,115.950238,,,,
46,11,5,-31.911304,115.950235,,,,
46,10,6,-31.9113,115.950235,,,,
46,10,7,-31.911303,115.950229,,,,
46,10,8,-31.911301,115.950224,,,,
46,12,10,-31.911301,115.950224,,,,
46,10,290,-31.911322,115.950261,,,,
46,11,291,-31.911322,115.950261,,,,
46,9,292,-31.911322,115.950261,,,,
47,9,4,-31.911294,115.950236,,,,
47,13,9,-31.911301,115.950224,,,,
47,9,341,-31.911373,115.950254,,,,
47,10,285,-31.911746,115.950034,,,,
47,11,289,-31.911322,115.950261,,,,
48,9,288,-31.911389,115.950248,,,,
49,11,338,-31.911627,115.950015,,,,
49,9,343,-31.911331,115.950264,,,,
50,8,11,-31.911301,115.950224,,,,
50,10,18,-31.911301,115.950224,,,,
50,9,342,-31.911331,115.950264,,,,
51,11,14,-31.911301,115.950224,,,,
51,10,340,-31.911486,115.950238,,,,
51,8,287,-31.911498,115.950235,,,,
52,10,12,-31.911301,115.950224,,,,
52,11,13,-31.911301,115.950224,,,,
52,9,15,-31.911301,115.950224,,,,
52,10,17,-31.911301,115.950224,,,,
53,11,16,-31.911301,115.950224,,,,
53,10,286,-31.91158,115.950161,,,,
54,10,19,-31.911327,115.950201,,,,
54,11,20,-31.911394,115.950205,,,,
54,10,5,-31.911502,115.950198,,,,
54,10,284,-31.912106,115.949958,,,,
55,10,21,-31.911451,115.9502,,,,
56,9,22,-31.911451,115.9502,,,,
56,11,339,-31.911571,115.950209,,,,
56,9,4,-31.911446,115.950253,,,,
58,12,24,-31.911559,115.950138,,,,
58,9,6,-31.91159,115.950134,,,,
59,9,283,-31.912556,115.949866,,,,
61,9,337,-31.91157,115.949657,,,,
61,9,345,-31.911453,115.950257,,,,
61,9,1,-31.91145,115.950252,,,,
62,10,2,-31.911445,115.950259,,,,
63,10,23,-31.911486,115.950193,,,,
63,10,344,-31.911456,115.950256,,,,
63,9,3,-31.911447,115.950256,,,,
64,9,327,-31.910621,115.950907,,,,
64,10,335,-31.911413,115.948977,,,,
64,9,281,-31.913285,115.949709,,,,
65,9,25,-31.911605,115.949994,,,,
65,7,7,-31.911616,115.94994,,,,
66,9,336,-31.911514,115.94926,,,,
67,9,328,-31.91055,115.950431,,,,
70,10,280,-31.913497,115.949563,,,,
71,8,332,-31.910512,115.949108,,,,
71,9,13,-31.910489,115.949118,,,,
72,9,324,-31.910743,115.951689,,,,
72,9,334,-31.911182,115.948983,,,,
72,8,8,-31.911561,115.949615,,,,
72,9,9,-31.911489,115.949202,,,,
72,7,12,-31.910896,115.949034,,,,
72,8,272,-31.911122,115.949013,,,,
72,7,282,-31.91296,115.949787,,,,
73,8,333,-31.910826,115.949045,,,,
73,9,11,-31.911222,115.948966,,,,
74,9,28,-31.911458,115.949093,,,,
74,7,317,-31.912543,115.952327,,,,
74,9,330,-31.910383,115.949453,,,,
74,8,10,-31.911432,115.948991,,,,
74,8,270,-31.910171,115.949204,,,,
75,6,27,-31.911512,115.94943,,,,
75,10,208,-31.910967,115.947903,,,,
75,8,211,-31.910387,115.948197,,,,
75,8,326,-31.910683,115.951289,,,,
75,7,331,-31.910355,115.949225,,,,
75,8,271,-31.910621,115.949148,,,,
76,7,26,-31.911567,115.949775,,,,
76,7,220,-31.911095,115.947601,,,,
76,3,221,-31.911386,115.947532,,,,
76,7,318,-31.912021,115.952457,,,,
76,7,320,-31.911136,115.952679,,,,
76,7,325,-31.910722,115.951532,,,,
76,6,329,-31.910457,115.949909,,,,
76,7,224,-31.910185,115.951899,,,,
76,7,273,-31.91163,115.948893,,,,
76,10,279,-31.913474,115.949265,,,,
77,7,202,-31.911771,115.946824,,,,
77,9,205,-31.911529,115.94751,,,,
77,9,206,-31.911213,115.947583,,,,
77,8,207,-31.910991,115.947665,,,,
77,8,209,-31.910888,115.94811,,,,
77,8,216,-31.910421,115.948267,,,,
77,8,322,-31.910871,115.952475,,,,
77,8,225,-31.91009,115.951345,,,,
78,7,29,-31.911515,115.948921,,,,
78,7,218,-31.910954,115.948046,,,,
79,6,213,-31.91031,115.947849,,,,
79,7,219,-31.910981,115.947775,,,,
79,7,323,-31.910804,115.952096,,,,
80,8,181,-31.913066,115.947241,,,,
80,6,204,-31.911794,115.947442,,,,
80,7,210,-31.910649,115.948163,,,,
80,7,217,-31.910719,115.948198,,,,
80,8,14,-31.910103,115.949175,,,,
81,6,200,-31.911837,115.946304,,,,
81,6,215,-31.910268,115.948077,,,,
81,7,243,-31.909949,115.950668,,,,
81,6,319,-31.911511,115.952582,,,,
81,8,321,-31.91094,115.952692,,,,
81,8,220,-31.910203,115.952792,,,,
81,8,221,-31.91025,115.95279,,,,
81,6,227,-31.909892,115.950206,,,,
81,6,267,-31.909555,115.948368,,,,
81,7,269,-31.90981,115.949119,,,,
82,7,203,-31.911845,115.947265,,,,
82,6,212,-31.910272,115.948049,,,,
82,5,233,-31.909839,115.946769,,,,
82,6,244,-31.910035,115.951205,,,,
82,5,316,-31.913044,115.952229,,,,
82,6,123,-31.913483,115.956053,,,,
82,6,125,-31.913936,115.955893,,,,
82,6,228,-31.909796,115.949646,,,,
82,6,229,-31.909712,115.949096,,,,
82,6,266,-31.909457,115.947781,,,,
83,6,30,-31.911765,115.948853,,,,
83,7,71,-31.915138,115.948282,,,,
83,5,201,-31.911715,115.946448,,,,
83,6,223,-31.911812,115.947463,,,,
83,5,224,-31.911859,115.947329,,,,
83,5,235,-31.909327,115.946823,,,,
83,5,241,-31.909771,115.949546,,,,
83,6,223,-31.910265,115.952366,,,,
83,5,230,-31.909617,115.948553,,,,
83,5,265,-31.909375,115.947273,,,,
84,4,214,-31.910229,115.947832,,,,
84,4,222,-31.911694,115.94748,,,,
84,6,225,-31.911808,115.94704,,,,
84,5,226,-31.91175,115.946674,,,,
84,5,240,-31.909676,115.948953,,,,
84,5,242,-31.909863,115.950117,,,,
84,5,258,-31.912532,115.95368,,,,
84,4,315,-31.913551,115.952125,,,,
84,7,126,-31.914053,115.955827,,,,
84,6,222,-31.910305,115.952679,,,,
84,6,268,-31.909636,115.948876,,,,
84,5,274,-31.912112,115.948772,,,,
85,4,72,-31.914878,115.948548,,,,
85,4,183,-31.912621,115.947263,,,,
85,5,184,-31.912583,115.947375,,,,
85,4,227,-31.911713,115.946434,,,,
85,0,231,-31.910665,115.946602,,,,
85,2,234,-31.909536,115.946822,,,,
85,3,106,-31.913848,115.954654,,,,
85,4,107,-31.913522,115.954734,,,,
85,6,115,-31.911393,115.955661,,,,
85,6,219,-31.909939,115.952788,,,,
85,5,231,-31.909524,115.948018,,,,
85,6,277,-31.913341,115.948569,,,,
86,2,31,-31.912113,115.948786,,,,
86,3,229,-31.911416,115.946422,,,,
86,4,230,-31.91106,115.946515,,,,
86,4,232,-31.910254,115.946687,,,,
86,3,238,-31.909458,115.947821,,,,
86,3,257,-31.912036,115.953792,,,,
86,5,19,-31.909651,115.949031,,,,
86,6,112,-31.911549,115.955212,,,,
86,4,124,-31.913742,115.955994,,,,
86,2,226,-31.909988,115.950775,,,,
86,5,260,-31.909197,115.945495,,,,
86,6,278,-31.913425,115.948838,,,,
87,3,75,-31.914263,115.948491,,,,
87,2,182,-31.912804,115.947303,,,,
87,2,185,-31.912703,115.947353,,,,
87,4,198,-31.912553,115.946137,,,,
87,3,199,-31.91214,115.946228,,,,
87,3,228,-31.911661,115.946373,,,,
87,3,236,-31.909329,115.947036,,,,
87,0,237,-31.909378,115.947372,,,,
87,3,239,-31.909576,115.948359,,,,
87,2,246,-31.910227,115.952299,,,,
87,4,254,-31.910736,115.954068,,,,
87,4,15,-31.90981,115.949087,,,,
87,4,20,-31.909369,115.949031,,,,
87,4,79,-31.913926,115.956471,,,,
87,4,104,-31.914065,115.955022,,,,
87,3,128,-31.914234,115.955731,,,,
87,4,130,-31.914278,115.955867,,,,
87,2,217,-31.909027,115.952772,,,,
87,3,275,-31.912625,115.948671,,,,
88,1,35,-31.913986,115.948374,,,,
88,2,52,-31.915725,115.947644,,,,
88,2,53,-31.915606,115.94773,,,,
88,2,70,-31.915299,115.948096,,,,
88,1,73,-31.914561,115.948727,,,,
88,-12,166,-31.913915,15.941494,,,,
88,2,176,-31.913947,115.9464,,,,
88,0,177,-31.913995,115.946763,,,,
88,1,179,-31.913645,115.947002,,,,
88,0,180,-31.913357,115.947154,,,,
88,2,188,-31.913471,115.947095,,,,
88,1,191,-31.914006,115.946851,,,,
88,2,197,-31.912982,115.946034,,,,
